LANGUAGECODE|RULENUMBER|CODE|FIELDNAME|DESCRIPTION
EN|970|field.empty|department|Department not selected.
IT|972|field.notauthorized|contactID|Il Contact ID inserito è già stato assegnato ad un altro utente.
IT|971|field.empty|seniority|Ruolo aziendale non selezionato.
IT|970|field.empty|department|Dipartimento non selezionato.
NO|973|field.notfound|contactID|Den oppgitte kontaktperson-IDen er ugyldig - enten finnes den ikke, eller den tilhører en slettet bruker.
NO|972|field.notauthorized|contactID|Den oppgitte kontaktperson-IDen er allerede i bruk.
NO|971|field.empty|seniority|Funksjon/stilling er ikke oppgitt.
NO|970|field.empty|department|Avdeling er ikke oppgitt.
PL|973|field.notfound|contactID|Kontakt ID, który podałeś jest nieprawidłowy. Podany kontakt id nie istnieje lub jest przypisany do nieaktywnego kontaktu.
PL|972|field.notauthorized|contactID|Kontakt ID, który podałeś jest już przypisany do innego użytkownika portalu
PL|971|field.empty|seniority|Stanowisko nie zostało wybrane
PL|970|field.empty|department|Dział nie został wybrany
PT|973|field.notfound|contactID|O Id do contacto que introduziu está inválido, contudo este Id não existe ou é de um contacto inactivo.
PT|972|field.notauthorized|contactID|O Id do contacto que introduziu já está a ser utilizado por outro utilizador.
PT|971|field.empty|seniority|Função não seleccionada.
PT|970|field.empty|department|Departamento não seleccionado.
RO|973|field.notfound|contactID|ID-ul persoanei de contact pe care l-ai introdus este invalid, fie acest ID nu exista, fie este pentru un contact care nu este activ.
RO|972|field.notauthorized|contactID|ID-ul persoanei de contact pe care l-ai introdus este deja acordat altui utilizator al portalului.
RO|971|field.empty|seniority|Vechimea nu a fost selectata
RO|970|field.empty|department|Departamentul nu a fost selectat
RU|973|field.notfound|contactID|Введенный вами Contact ID неверен. Этот ID либо не существует, либо пренадлежит не активному контакту.
RU|972|field.notauthorized|contactID|Указанный вами Contact ID уже связан с другим пользователем портала.
RU|971|field.empty|seniority|Должностная функция не указана
RU|970|field.empty|department|Отдел не указан
SK|973|field.notfound|contactID|Kontaktné ID, ktoré ste zadali je nesprávne, alebo toto ID neexistuje, alebo kontakt nie je aktívny.
SK|972|field.notauthorized|contactID|Kontaktné ID, ktoré ste zadali je už zadané pre iného užívateľa Smart Portálu.
SK|971|field.empty|seniority|Seniorita nebola vybraná
SK|970|field.empty|department|Oddelenie nebolo vybrané
SL|973|field.notfound|contactID|Id stika, ki ste ga vnesli, je napačen. Ali ta Id ne obstaja ali pa je namenjen neaktivnemu stiku.
SL|972|field.notauthorized|contactID|Id stika, ki ste ga vnesli, je že dodeljen drugemu uporabniku portala.
SL|971|field.empty|seniority|Staž ni izbran.
SL|970|field.empty|department|Oddelek ni izbran.
ES|973|field.notfound|contactID|Este Contact ID no es válido, o no existe o el contacto está inactivo
ES|972|field.notauthorized|contactID|Este Contact ID ya está asignado a otro usuario del portal
ES|971|field.empty|seniority|Seleccionar el nivel del puesto
ES|970|field.empty|department|Seleccionar el departamento
SV|973|field.notfound|contactID|The Contact Id that you have entered is invalid, either this Id does not exist or it is for an inactive contact.
SV|972|field.notauthorized|contactID|The Contact Id that you have entered is already assigned to another portal user.
SV|971|field.empty|seniority|Chefsnivå ej vald
SV|970|field.empty|department|Avdelning inte vald.
