LANGUAGECODE|TOPICCODE|TOPICLABEL|USERID
RU|0|Логин, Навигация и профиль|IC.UserManagement@hp.com
RU|1|Подключение к сайту|IC.UserManagement@hp.com
RU|2|Ценовая информация|IC.ToolsSupport@hp.com
RU|7|Пред-продажная тех. поддержка (ПК, серверы, устройства хранения данных)|infocenter@hp.com
RU|3|Статус заказов|IC.ToolsSupport@hp.com
RU|4|Литература|IC.UserManagement@hp.com
RU|5|Содержимое брошюр и других документов|IC.ToolsSupport@hp.com
RU|6|Статус контрактов|IC.UserManagement@hp.com
SL|0|Prijava, Pot in profiliranje|IC.UserManagement@hp.com
SL|1|Povezava na stran|IC.UserManagement@hp.com
SL|2|Cene in opisi izdelkov|IC.ToolsSupport@hp.com
SL|3|Status naročil|IC.ToolsSupport@hp.com
SL|4|Prodajna literatura|IC.UserManagement@hp.com
SL|5|Vsebina brošur in ostalih dokumentov|IC.ToolsSupport@hp.com
SL|6|Kontakti|IC.UserManagement@hp.com
SL|7|Predprodajna in tehnična pomoč(strežniki, shranjevalne enote, PC-ji)|infocenter@hp.com
SK|0|Login, navigácia a zmena profilu|IC.UserManagement@hp.com
SK|1|Prístup na portál|IC.UserManagement@hp.com
SK|2|Produkty a ceny|IC.ToolsSupport@hp.com
SK|3|Stav objednávok|IC.ToolsSupport@hp.com
SK|4|Obchodná literatúra|IC.UserManagement@hp.com
SK|5|Obsah brožúr a iných dokumentov|IC.ToolsSupport@hp.com
SK|6|Stav kontraktu|IC.UserManagement@hp.com
SK|7|Technický support (servery, storage, PC)|infocenter@hp.com
SV|0|Påloggning, navigering och profilering|IC.UserManagement@hp.com
SV|1|Uppkoppling till webbplatsen|IC.UserManagement@hp.com
SV|2|Produktpriser|IC.ToolsSupport@hp.com
SV|3|Orderstatus|IC.ToolsSupport@hp.com
SV|4|Datablad|IC.UserManagement@hp.com
SV|5|Innehåll i datablad och andra dokument|IC.ToolsSupport@hp.com
SV|6|Avtalsstatus|IC.UserManagement@hp.com
SV|7|Teknisk presalesupport (servrar, storage, PC)|infocenter@hp.com
TR|0|Oturumu ac, Navigasyon ve profil olusturma|IC.UserManagement@hp.com
TR|1|Web sitesine baglaniyor|IC.UserManagement@hp.com
TR|2|Urun fiyatlari ve profil olusturma|IC.ToolsSupport@hp.com
TR|3|Siparis durumu|IC.ToolsSupport@hp.com
TR|4|Satis kurallari|IC.UserManagement@hp.com
TR|5|Brosur ve diger belgelerin icerigi|IC.ToolsSupport@hp.com
TR|6|Baglanti durumu|IC.UserManagement@hp.com
TR|7|Satis oncesi teknik destek (sunucular, depolama urunleri, bilgisayarlar)|infocenter@hp.com
EN|8|Presales tech support(OpenView)|ovconsult@hp.com
SK|8|Obchodná technická podpora predaja ( OpenView)|ovconsult@hp.com
HU|8|Pre-sales technikai támogatás (OpenView)|ovconsult@hp.com
BG|8|Пред-продажбена техническа поддръжка (OpenView)|ovconsult@hp.com
HR|8|Pred prodajna tehnicka podrska (OpenView)|ovconsult@hp.com
SL|8|Tehnična podpora pred prodajo (OpenView)|ovconsult@hp.com
FR|8|Avant-ventes support technique (OpenView)|ovconsult@hp.com
EL|8| Τεχνική υποστήριξη Presales (OpenView)|ovconsult@hp.com
DA|8|Presales tech support(OpenView)|ovconsult@hp.com
PT|8|Suporte Técnico de Pré-Venda (OpenView)|ovconsult@hp.com
CS|8|Presales support (OpenView)|ovconsult@hp.com
SV|8|Teknisk presalesupport (OpenView)|ovconsult@hp.com
RU|8|Предпродажная поддержка (OpenView)|ovconsult@hp.com
NO|8|Teknisk salgsstøtte (HP OpenView)|ovconsult@hp.com
RO|8|Suport tehnic de prevanzari(OpenView)|ovconsult@hp.com
PL|8|Przedsprzedażne wsparcie techniczne(OpenView)|ovconsult@hp.com
IT|8|Supporto tecnico prevendita (OpenView)|ovconsult@hp.com
FI|8|Presales tekninen tuki (OpenView)|ovconsult@hp.com
